1849 50
3404_0_22_23_35_36	10	-0.148759 0.045454 -0.056842 0.112444 -0.000674 0.127940 0.001490 0.309407 -0.154986 -0.135709 0.080054 0.371935 -0.107729 -0.213136 -0.055943 -0.158215 -0.027822 0.075888 0.160043 0.045207 0.031524 -0.054912 0.306625 -0.027496 0.053265 -0.103826 -0.163871 0.297815 -0.023030 0.009119 0.341079 -0.029865 0.145265 -0.006614 -0.020406 0.183778 0.004254 -0.094452 0.170012 0.102144 0.020956 -0.149135 0.086146 0.023441 -0.171242 0.041212 -0.083588 0.088036 0.137165 0.016868 
3404_0_22_23_13_14	11	-0.164136 0.151123 0.107100 0.141982 0.044666 0.005882 0.010859 0.233792 -0.074861 -0.197987 0.069968 0.362769 -0.086992 -0.233630 -0.025027 -0.277084 -0.138150 0.072895 0.189191 0.025545 -0.033944 -0.203515 0.253643 -0.061741 -0.009963 -0.220690 -0.044539 0.306385 -0.014295 0.018043 0.275765 0.020616 0.019118 -0.003832 -0.064598 0.103052 0.072482 -0.003309 0.126684 0.175499 0.008659 -0.146419 0.144622 0.005580 -0.112937 -0.008190 -0.047319 0.111801 0.104734 -0.001369 
1531_0_6_8_13_14	12	-0.279752 0.180957 -0.020601 0.179141 0.076970 -0.046762 0.126414 -0.149499 -0.110312 -0.130201 -0.205054 0.122433 -0.052047 -0.291914 0.025816 -0.070602 0.118427 0.124127 -0.077557 0.326943 0.004757 0.113161 0.158287 -0.054847 -0.055900 -0.088137 0.010272 0.174528 0.042227 0.170247 0.286385 -0.080257 -0.138380 0.095375 -0.001095 0.087921 0.132339 -0.058344 0.144426 0.197399 -0.149027 -0.094857 0.152406 0.031572 -0.272989 -0.234305 0.007508 -0.120106 -0.035328 0.048576 
2402_0_5_6_16_17	13	0.162966 0.002495 -0.041847 -0.008876 0.107295 -0.008824 0.143952 0.038652 0.104676 -0.098051 0.109729 0.430190 0.023068 -0.033079 0.019554 -0.128865 -0.236864 0.078065 -0.042720 0.201310 -0.055593 0.145860 0.114171 -0.145068 -0.062335 -0.052945 -0.292467 -0.051121 0.098100 0.175388 0.122057 0.091311 -0.018390 -0.131940 -0.080962 0.290926 -0.140563 0.111188 -0.065631 0.087756 -0.006903 0.040648 0.102186 -0.411362 -0.156562 -0.097198 -0.013081 -0.060531 -0.058872 0.082971 
10_0_4_5_0_1	14	-0.055687 -0.014905 0.120903 0.140115 0.172090 -0.002622 -0.139599 0.008299 -0.037889 0.177440 -0.241292 0.100940 0.036201 -0.381334 0.173815 -0.101153 0.068329 0.086485 -0.133058 0.279721 0.085745 -0.145491 0.230869 -0.135071 0.092754 0.046791 -0.081949 0.144940 0.199610 0.004912 0.225669 0.159252 0.148836 -0.083159 -0.152730 -0.136973 -0.163427 0.040687 -0.070092 0.192026 -0.009155 -0.026363 0.125471 -0.339187 0.022630 -0.017108 -0.057560 0.072854 -0.066018 -0.026632 
1540_0_26_28_9_11	15	-0.176973 0.041633 -0.288926 -0.142279 -0.022923 -0.129980 0.138276 -0.060910 -0.063783 0.133710 -0.273846 0.019180 -0.031775 -0.223667 0.112782 0.028292 -0.057956 0.029996 0.036527 0.186813 0.213923 -0.014557 0.180262 -0.261786 0.040102 -0.210972 -0.035332 0.044200 0.176218 0.044617 0.075977 0.053181 -0.119936 -0.149880 -0.061583 -0.169960 -0.025931 -0.079718 -0.017108 0.157040 -0.215705 0.031700 0.040990 -0.014998 -0.279239 -0.341294 -0.013325 -0.079795 -0.226212 -0.071162 
3417_0_94_95_33_34	16	0.005454 -0.118540 0.003140 -0.429372 0.142353 0.020641 0.182056 0.025881 -0.218022 0.057658 -0.060664 0.351932 0.121833 -0.088960 -0.212128 -0.073853 0.042198 -0.007440 0.044742 0.120566 0.009445 0.010107 0.198114 -0.153179 -0.119628 -0.115278 0.051059 0.048132 0.043531 0.115918 0.042138 -0.065213 0.025955 -0.342624 -0.160465 0.167976 -0.082855 -0.074368 -0.070237 0.199145 0.042983 -0.006011 0.070463 0.198827 -0.149045 0.007893 -0.160685 0.174481 -0.095742 -0.069531 
3417_0_33_34_96_97	17	0.029781 -0.083960 -0.019932 -0.423685 0.111945 0.004794 0.180310 -0.049316 -0.235507 0.077679 -0.040161 0.351554 0.134683 -0.072147 -0.208560 -0.097128 0.022096 -0.027856 0.035250 0.122395 0.029759 0.044003 0.219147 -0.177908 -0.157749 -0.120304 0.075676 0.069812 0.065064 0.120910 0.011973 -0.062537 0.006134 -0.353180 -0.137828 0.172569 -0.061719 -0.066283 -0.062428 0.216178 0.046826 0.007176 0.076206 0.186456 -0.120511 -0.032084 -0.143325 0.161212 -0.090025 -0.047306 
3417_0_94_95_96_97	18	-0.029720 -0.079006 -0.032653 -0.339958 0.172588 -0.030224 0.149777 -0.095863 -0.199799 0.034288 -0.045913 0.355201 0.143513 -0.053718 -0.183106 -0.268631 -0.031779 0.066364 0.069921 0.119126 0.014467 -0.031356 0.208388 -0.228931 -0.095778 -0.145713 0.040375 0.019330 -0.077621 0.094520 0.003119 -0.122641 -0.123071 -0.336083 -0.336123 0.069330 -0.045160 -0.058882 -0.085697 0.162945 0.106185 0.014202 0.032333 0.183234 -0.054295 0.038348 -0.063655 0.072261 -0.140820 -0.112770 
3417_0_94_95_99_100	19	-0.016413 -0.053836 -0.053381 -0.375277 0.128877 0.004634 0.199282 -0.066320 -0.164768 0.011712 -0.053275 0.339358 0.134558 -0.047215 -0.197720 -0.228072 -0.017597 0.049180 0.048495 0.066908 -0.001151 0.027947 0.246752 -0.214235 -0.064955 -0.155386 0.009712 0.049731 -0.035382 0.085233 0.039067 -0.114727 -0.031477 -0.340216 -0.260187 0.059857 -0.066939 -0.092249 -0.113015 0.157773 0.093641 0.001542 0.056623 0.220190 -0.087832 0.034017 -0.095542 0.109372 -0.127415 -0.146522 
