0	0	5
0	1	3.0
1	0	4
1	1	9.0
2	0	5
2	1	3.0
3	0	5
3	1	3.0
4	0	4
4	1	9.0
5	0	1
5	1	1.0
6	0	2
6	1	4.0
6	2	1
6	4	1
7	0	30
7	1	126.0
7	2	23
7	3	8
7	4	13
8	0	13
8	1	116.0
8	2	3
8	3	2
8	4	5
8	5	2
9	0	12
9	1	26.0
9	2	11
9	3	1
9	4	7
10	0	4
10	1	8.0
10	2	1
10	3	1
10	4	1
11	0	8
11	1	84.0
11	2	7
11	3	3
11	4	4
12	0	16
12	1	35.0
12	2	14
12	3	2
12	4	6
13	0	1
13	1	1.0
14	0	1
14	1	1.0
15	0	40
15	1	227.0
15	2	13
15	3	7
15	4	7
15	6	1
16	0	2
16	1	3.0
16	4	1
17	0	2
17	1	3.0
17	2	1
17	4	1
18	0	2
18	1	10.0
18	2	1
18	4	1
19	0	14
19	1	84.0
19	2	2
19	3	1
19	4	1
19	5	3
20	0	59
20	1	306.0
20	2	27
20	3	13
20	4	17
20	5	3
20	6	1
21	0	1
21	1	8.0
22	0	9
22	1	94.0
22	2	2
22	3	3
22	4	2
23	0	19
23	1	77.0
23	2	7
23	3	1
23	4	3
23	5	3
24	0	3
24	1	2.0
24	2	1
25	0	2
25	1	2.0
26	0	28
26	1	88.0
26	2	13
26	3	2
26	4	4
27	0	1
27	1	5.0
28	0	1
28	1	5.0
29	0	15
29	1	69.0
29	2	3
29	3	10
29	4	1
29	5	2
29	6	1
30	0	1
30	1	1.0
31	0	3
31	1	60.0
31	2	1
31	4	1
32	0	5
32	1	13.0
32	3	1
32	5	1
33	0	1
33	1	1.0
34	0	2
34	1	13.0
35	0	2
35	1	2.0
36	0	5
36	1	3.0
37	0	2
37	1	2.0
38	0	2
38	1	2.0
39	0	2
39	1	2.0
40	0	1
40	1	5.0
41	0	1
41	1	5.0
42	0	2
42	1	5.0
43	0	1
43	1	1.0
44	0	1
44	1	1.0
45	0	1
45	1	1.0
46	0	55
46	1	215.0
46	2	39
46	3	11
46	4	18
46	5	1
47	0	113
47	1	587.0
47	2	61
47	3	24
47	4	33
47	5	5
47	6	1
48	0	126
48	1	635.0
48	2	62
48	3	24
48	4	34
48	5	5
48	6	1
49	0	34
49	1	259.0
49	2	18
49	3	7
49	4	10
50	0	125
50	1	676.0
50	2	78
50	3	20
50	4	43
50	5	2
50	6	2
51	0	40
51	1	245.0
51	2	13
51	3	7
51	4	7
51	6	1
52	0	40
52	1	166.0
52	2	18
52	3	4
52	4	9
53	0	75
53	1	458.0
53	2	40
53	3	15
53	4	26
53	5	1
53	6	1
54	0	63
54	1	404.0
54	2	33
54	3	9
54	4	17
54	5	2
55	0	84
55	1	429.0
55	2	42
55	3	18
55	4	25
55	5	4
55	6	1
56	0	139
56	1	439.0
56	2	87
56	3	18
56	4	44
56	5	4
56	6	1
57	0	6
57	1	23.0
57	2	2
57	4	2
58	0	40
58	1	206.0
58	2	21
58	3	8
58	4	14
58	5	1
59	0	184
59	1	870.0
59	2	96
59	3	63
59	4	51
59	5	5
59	6	3
60	0	96
60	1	289.0
60	2	64
60	3	22
60	4	29
60	5	1
60	6	2
61	0	74
61	1	219.0
61	2	39
61	3	20
61	4	15
61	6	2
62	0	163
62	1	824.0
62	2	87
62	3	59
62	4	45
62	5	4
62	6	3
63	0	163
63	1	824.0
63	2	87
63	3	59
63	4	45
63	5	4
63	6	3
64	0	115
64	1	549.0
64	2	68
64	3	29
64	4	39
64	5	2
64	6	2
65	0	107
65	1	534.0
65	2	66
65	3	29
65	4	38
65	5	1
65	6	2
66	0	46
66	1	205.0
66	2	30
66	3	8
66	4	18
66	5	1
67	0	109
67	1	560.0
67	2	67
67	3	23
67	4	37
67	5	2
67	6	2
68	0	109
68	1	560.0
68	2	67
68	3	23
68	4	37
68	5	2
68	6	2
69	0	106
69	1	543.0
69	2	66
69	3	22
69	4	37
69	5	1
69	6	2
70	0	109
70	1	560.0
70	2	67
70	3	23
70	4	37
70	5	2
70	6	2
71	0	114
71	1	569.0
71	2	74
71	3	25
71	4	43
71	5	2
71	6	2
72	0	114
72	1	569.0
72	2	74
72	3	25
72	4	43
72	5	2
72	6	2
73	0	57
73	1	406.0
73	2	21
73	3	6
73	4	17
73	5	2
73	6	1
74	0	19
74	1	209.0
74	2	7
74	3	3
74	4	6
74	6	1
75	0	184
75	1	870.0
75	2	96
75	3	44
75	4	51
75	5	5
75	6	3
76	0	59
76	1	321.0
76	2	27
76	3	12
76	4	14
76	5	2
76	6	1
77	0	18
77	1	207.0
77	2	7
77	3	3
77	4	6
77	6	1
78	0	184
78	1	870.0
78	2	96
78	3	51
78	4	51
78	5	5
78	6	3
79	0	118
79	1	604.0
79	2	64
79	3	25
79	4	34
79	5	5
79	6	3
80	0	69
80	1	429.0
80	2	35
80	3	18
80	4	22
80	5	1
80	6	2
81	0	14
81	1	21.0
81	2	9
81	4	1
82	0	183
82	1	868.0
82	2	95
82	3	41
82	4	51
82	5	5
82	6	3
83	0	131
83	1	653.0
83	2	66
83	3	26
83	4	38
83	5	4
83	6	3
84	0	34
84	1	150.0
84	2	21
84	3	2
84	4	14
84	5	1
84	6	1
85	0	91
85	1	534.0
85	2	52
85	3	20
85	4	26
85	5	1
85	6	1
86	0	68
86	1	450.0
86	2	38
86	3	15
86	4	19
86	6	1
87	0	181
87	1	866.0
87	2	95
87	3	41
87	4	51
87	5	5
87	6	3
88	0	41
88	1	234.0
88	2	21
88	3	14
88	4	17
88	5	2
88	6	1
89	0	41
89	1	234.0
89	2	21
89	3	14
89	4	17
89	5	2
89	6	1
90	0	40
90	1	121.0
90	2	24
90	3	5
90	4	13
90	6	1
91	0	29
91	1	85.0
91	2	20
91	3	3
91	4	11
91	6	1
92	0	184
92	1	870.0
92	2	96
92	3	42
92	4	51
92	5	5
92	6	3
93	0	132
93	1	723.0
93	2	67
93	3	28
93	4	31
93	5	3
93	6	2
94	0	35
94	1	81.0
94	2	16
94	3	4
94	4	5
95	0	16
95	1	29.0
95	2	6
95	3	2
95	4	2
96	0	68
96	1	483.0
96	2	39
96	3	21
96	4	22
96	5	1
96	6	1
97	0	17
97	1	218.0
97	2	10
97	3	7
97	4	7
97	6	1
98	0	31
98	1	317.0
98	2	20
98	3	9
98	4	11
98	6	1
99	0	31
99	1	317.0
99	2	20
99	3	9
99	4	11
99	6	1
100	0	98
100	1	572.0
100	2	56
100	3	22
100	4	30
100	5	2
100	6	2
101	0	30
101	1	343.0
101	2	19
101	3	9
101	4	11
101	6	1
102	0	79
102	1	460.0
102	2	40
102	3	15
102	4	18
102	5	3
102	6	2
103	0	8
103	1	16.0
103	2	7
103	3	1
103	4	3
104	0	97
104	1	424.0
104	2	43
104	3	18
104	4	17
104	5	2
104	6	1
105	0	49
105	1	365.0
105	2	31
105	3	8
105	4	20
105	5	3
105	6	1
106	0	31
106	1	242.0
106	2	18
106	3	4
106	4	12
106	5	3
106	6	1
107	0	121
107	1	634.0
107	2	68
107	3	33
107	4	38
107	5	4
107	6	3
108	0	13
108	1	264.0
108	2	6
108	3	5
108	4	8
108	6	2
109	0	13
109	1	264.0
109	2	6
109	3	5
109	4	8
109	6	2
110	0	147
110	1	780.0
110	2	79
110	3	33
110	4	46
110	5	5
110	6	3
111	0	17
111	1	35.0
111	2	3
111	3	1
112	0	12
112	1	22.0
112	2	3
113	0	32
113	1	235.0
113	2	11
113	3	4
113	4	4
113	6	1
114	0	20
114	1	202.0
114	2	6
114	3	3
114	4	4
114	6	1
115	0	33
115	1	172.0
115	2	17
115	3	7
115	4	10
115	5	1
115	6	1
116	0	15
116	1	34.0
116	2	6
116	3	1
116	4	2
117	0	77
117	1	416.0
117	2	34
117	3	21
117	4	16
117	6	2
118	0	12
118	1	20.0
118	2	5
118	4	2
119	0	173
119	1	628.0
119	2	94
119	3	50
119	4	46
119	5	5
119	6	2
120	1	3.0
121	1	3.0
122	1	3.0
123	1	13.0
123	3	1
124	1	3.0
124	3	1
125	1	5.0
125	3	4
126	1	10.0
126	3	7
127	0	22
127	1	94.0
127	2	10
127	3	6
127	4	4
127	5	1
127	6	1
128	1	3.0
129	1	3.0
130	1	3.0
131	1	4.0
131	3	3
132	1	3.0
133	1	3.0
134	1	3.0
135	1	3.0
136	1	3.0
137	0	24
137	1	36.0
137	2	19
137	4	9
138	0	113
